id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight
AT0001,Resin Green Lagoon,"The sea is a great gift for yourself and loved ones. Stunning and bright seascape in a beautiful wooden panel.
",in stock,new,175,https://anataborda.com/resin-artwork/resin-green-lagoon,https://anataborda.com/assets/images/artwork/resin-green-lagoon.webp,AnaTabordaArt,500044,1023,1,175,,,,,,,,,,
AT0002,Resin Wall Clock with Gemstones,"Wall clock decorated with real gemstones like amethyst, aventurine and malachite. 
",out of stock,new,99,https://anataborda.com/resin-artwork/resin-wall-clock-with-crystals-handmade-clock,https://anataborda.com/assets/images/artwork/resin-wall-clock-with-crystals-handmade-clock.jpeg,AnaTabordaArt,500044,1023,0,99,,,,,,,,,,
AT0003,Copper & Peach Resin Geode,"Original resin peach and copper with gold effects made in wooden board.
",in stock,new,230,https://anataborda.com/resin-artwork/resin-fine-art-in-copper-and-peach,https://anataborda.com/assets/images/artwork/resin-fine-art-in-copper-and-peach.jpeg,AnaTabordaArt,500044,1023,1,230,,,,,,,,,,
AT0004,Fluid Art Resin Clock with Orquideas,"Unique and elegant resin clock with green Orquídeas.
",in stock,new,115,https://anataborda.com/resin-artwork/fluid-art-resin-clock-with-orquideas,https://anataborda.com/assets/images/artwork/fluid-art-resin-clock-with-orquideas.jpeg,AnaTabordaArt,500044,1023,1,115,,,,,,,,,,
AT0005,Bamboo Serving/Cutting Board with waves,"Stunning bamboo ocean style board decorated with resin, sand and rich vibrant pigments colours. Made with non toxic, food safe resin.
",out of stock,new,42,https://anataborda.com/resin-artwork/bamboo-serving-cutting-board-with-waves,https://anataborda.com/assets/images/artwork/bamboo-serving-cutting-board-with-waves.jpeg,AnaTabordaArt,500044,1023,0,42,,,,,,,,,,
AT0006,Blue Shades Lagoon,"A beautiful resin artwork with bright blue shades and a original shape made in wooden panel.
",out of stock,new,175,https://anataborda.com/resin-artwork/blue-shades-lagoon,https://anataborda.com/assets/images/artwork/blue-shades-lagoon.jpeg,AnaTabordaArt,500044,1023,0,175,,,,,,,,,,
AT0007,Wall Hanging Tapestry - Chic Bohemian Style,"This beautiful project represent the harmony of the coral reefs reality, giving you a serenity feeling when you looking at this art tapestry.
",in stock,new,350,https://anataborda.com/wall-tapestry/wall-hanging-tapestry-chic-bohemian-style,https://anataborda.com/assets/images/artwork/wall-hanging-tapestry-chic-bohemian-style.jpeg,AnaTabordaArt,500045,1003,1,350,,,,,,,,,,
AT0008,Wall Hanging Tapestry in Crochet - Salt Caramel,"This beautiful project represent the harmony of the coral reefs reality, giving you a serenity feeling when you looking at this art tapestry.
",out of stock,new,95,https://anataborda.com/wall-tapestry/wall-hanging-tapestry-in-crochet-salt-caramel,https://anataborda.com/assets/images/artwork/wall-hanging-tapestry-in-crochet-salt-caramel.jpeg,AnaTabordaArt,500045,1003,0,95,,,,,,,,,,
AT0009,Resin Clock Fluid Art - Black Space,"Uniqueness handmade resin clock / epoxy clock. A original fluid art wall clock. 
",in stock,new,50,https://anataborda.com/resin-artwork/resin-clock-fluid-art-black-space,https://anataborda.com/assets/images/artwork/resin-clock-fluid-art-black-space.jpeg,AnaTabordaArt,500044,1023,1,50,,,,,,,,,,
AT0011,"Resin Wall Clock 12"" Fluid Art","Exclusive and handmade wall clock made in wood panel, using high quality resin and pigments.
",out of stock,new,45,https://anataborda.com/resin-artwork/resin-wall-clock-fluid-art,https://anataborda.com/assets/images/artwork/resin-wall-clock-fluid-art.jpeg,AnaTabordaArt,500044,1023,0,45,,,,,,,,,,
AT0013,3D White Beach,"The sea is a great gift for yourself and loved ones. Stunning and bright seascape in a beautiful wooden panel.
",in stock,new,248,https://anataborda.com/resin-artwork/3d-white-beach,https://anataborda.com/assets/images/artwork/resin-ocean-art.webp,AnaTabordaArt,500044,1023,1,248,,,,,,,,,,
AT0014,Rustic Cutting Board Olive Wood 40x20cm - Fluid Art,"The sea is a great gift for yourself and loved ones. Stunning and bright seascape in a beautiful wooden panel.
",out of stock,new,49,https://anataborda.com/resin-artwork/rustic-cutting-board-olive-wood,https://anataborda.com/assets/images/artwork/rustic-cutting-board-olive-wood.jpeg,AnaTabordaArt,500044,1023,0,49,,,,,,,,,,
AT0015,"Resin Clock 20"" Beach Landscape","The sea is a great gift for yourself and loved ones. Stunning and bright seascape in a beautiful wooden panel.
",out of stock,new,90,https://anataborda.com/resin-artwork/resin-clock-beach-landscape,https://anataborda.com/assets/images/artwork/resin-clock-beach-landscape.jpeg,AnaTabordaArt,500044,1023,0,90,,,,,,,,,,
AT0016,"Beach Resin 20"" Landscape","The sea is a great gift for yourself and loved ones. Stunning and bright seascape in a beautiful wooden panel.
",out of stock,new,88,https://anataborda.com/resin-artwork/beach-resin-landscape,https://anataborda.com/assets/images/artwork/beach-resin-landscape.jpeg,AnaTabordaArt,500044,1023,0,88,,,,,,,,,,
AT0017,Underwater Artwork,"The sea is a great gift for yourself and loved ones. Stunning and bright seascape in a beautiful wooden panel.
",out of stock,new,120,https://anataborda.com/resin-artwork/underwater-artwork,https://anataborda.com/assets/images/artwork/underwater-artwork.webp,AnaTabordaArt,500044,1023,0,120,,,,,,,,,,
AT0018,Elegant Resin Wall Clock fluid art,"The sea is a great gift for yourself and loved ones. Stunning and bright seascape in a beautiful wooden panel.
",out of stock,new,55,https://anataborda.com/resin-artwork/elegant-resin-wall-clock-fluid-art,https://anataborda.com/assets/images/artwork/elegant-resin-wall-clock-fluid-art.jpeg,AnaTabordaArt,500044,1023,0,55,,,,,,,,,,
AT0019,Round Gold Resin Geode,"Gold, white and grey resin abstract painting with decorative glass.
",in stock,new,84,https://anataborda.com/resin-artwork/round-gold-resin-geode,https://anataborda.com/assets/images/artwork/round-gold-resin-geode.jpeg,AnaTabordaArt,500044,1023,1,84,,,,,,,,,,
AT0020,Resin Clock with Real Gemstones and gold butterflies,"This Resin Clock is a great gift for yourself and loved ones. 
",out of stock,new,104,https://anataborda.com/resin-artwork/resin-clock-fluid-art-with-gold-butterflies,https://anataborda.com/assets/images/artwork/resin-clock-fluid-art-with-gold-butterflies.jpeg,AnaTabordaArt,500044,1023,0,104,,,,,,,,,,
AT0021,Resin wooden box - green fluid art,"Exclusive handmade jewellery wooden box, made using high quality resin and pigments.
",out of stock,new,33,https://anataborda.com/resin-artwork/resin-wooden-box-green-fluid-art,https://anataborda.com/assets/images/artwork/resin-wooden-box-green-fluid-art.jpeg,AnaTabordaArt,500044,1023,0,33,,,,,,,,,,
AT0027,3D Resin Wooden Black Jewellery Box,"Beautiful and elegant black wooden box with lock.
",out of stock,new,34,https://anataborda.com/resin-artwork/resin-wooden-black-jewellery-box-3d,https://anataborda.com/assets/images/artwork/resin-wooden-black-jewellery-box-3d.jpeg,AnaTabordaArt,500044,1023,0,34,,,,,,,,,,
AT0029,3D Resin Ocean Clock,"Exclusive Beach Landscape Resin using high quality resin, pigments, rocks and sand.
",out of stock,new,79,https://anataborda.com/resin-artwork/resin-ocean-clock-3d,https://anataborda.com/assets/images/artwork/resin-ocean-clock-3d.jpeg,AnaTabordaArt,500044,1023,0,79,,,,,,,,,,
AT0030,Resin 3D island in Wooden Log Slice,"The sea is a great gift for yourself and loved ones. Stunning and bright seascape in a beautiful wooden log.
",out of stock,new,124,https://anataborda.com/resin-artwork/resin-3d-island-in-wooden-log-slice,https://anataborda.com/assets/images/artwork/resin-3d-island-in-wooden-log-slice.jpeg,AnaTabordaArt,500044,1023,0,124,,,,,,,,,,
AT0031,Resin Beach Landscape in Canvas,"Realistic seascape.
",in stock,new,650,https://anataborda.com/resin-artwork/resin-beach-landscape-in-canvas,https://anataborda.com/assets/images/artwork/resin-beach-landscape-in-canvas.jpeg,AnaTabordaArt,500044,1023,1,650,,,,,,,,,,
AT0032,3D Gold and Wine Wooden Box With 3 Compartments,"Gold and red colours in a wooden box with lock...
",out of stock,new,33,https://anataborda.com/resin-artwork/3D-Gold-and-Wine-Wooden-Box-With-3-Compartments,https://anataborda.com/assets/images/artwork/3D-Gold-and-Wine-Wooden-Box-With-3-Compartments.jpeg,AnaTabordaArt,500044,1023,0,33,,,,,,,,,,
AT0033,Blue Heart Wooden Box,"Blue wooden box with heart shape.
",out of stock,new,29,https://anataborda.com/resin-artwork/blue-heart-wooden-box,https://anataborda.com/assets/images/artwork/blue-heart-wooden-box.jpeg,AnaTabordaArt,500044,1023,0,29,,,,,,,,,,
AT0034,Black and Gold Resin Chopping Board,"Stunning style charcuterie board. Each board is completely unique. A beautiful statement piece for any kitchen.
",out of stock,new,49,https://anataborda.com/resin-artwork/black-gold-resin-chopping-board,https://anataborda.com/assets/images/artwork/black-gold-resin-chopping-board.jpeg,AnaTabordaArt,500044,1023,0,49,,,,,,,,,,
AT0035,"Resin Art, 3D Ocean Sea, Seascape Beach","3D resin landscape full of details. Reef coral underwater with boat stuck in the shore....
",out of stock,new,139,https://anataborda.com/resin-artwork/resin-art-3d-ocean-sea-seascape-beach,https://anataborda.com/assets/images/artwork/resin-art-3d-ocean-sea-seascape-beach.jpeg,AnaTabordaArt,500044,1023,0,139,,,,,,,,,,
AT0036,Amethyst Geode Resin,"This luxurious and elegante piece is gorgeous with four clusters of “crystals” made of epoxy resin crystal nestled throughout with glass, stones and acrylic. 
",out of stock,new,350,https://anataborda.com/resin-artwork/amethyst-geode-resin,https://anataborda.com/assets/images/artwork/amethyst-geode-resin.jpeg,AnaTabordaArt,500044,1023,0,350,,,,,,,,,,
AT0037,Gold & Green Resin geode,"This luxurious and elegant piece is gorgeous full of “crystals” clusters made of epoxy resin crystal nestled throughout with glass, stones and acrylic. The artist edge flows as a continuation giving this piece an artistic feel.
",out of stock,new,370,https://anataborda.com/resin-artwork/gold-and-green-resin-geode,https://anataborda.com/assets/images/artwork/gold-and-green-resin-geode.jpeg,AnaTabordaArt,500044,1023,0,370,,,,,,,,,,
AT0038,Crystal Heart Resin Geode,"Spread the love with this luxury artwork with a huge crystal heart shape, and beautiful crystal clusters made of epoxy resin crystal.
",in stock,new,360,https://anataborda.com/resin-artwork/crystal-heart-resin-geode,https://anataborda.com/assets/images/artwork/crystal-heart-resin-geode.jpeg,AnaTabordaArt,500044,1023,1,360,,,,,,,,,,
AT0039,Ocean Seascape set Of 2,"Original painting set of two.
",out of stock,new,244,https://anataborda.com/resin-artwork/ocean-seascape-set-of-2,https://anataborda.com/assets/images/artwork/ocean-seascape-set-of-2.jpeg,AnaTabordaArt,500044,1023,0,244,,,,,,,,,,
AT0040,3D Resin Beach,"Gift idea for him and for her. This artwork showcasing the beauty of the ocean water and waves.
",out of stock,new,125,https://anataborda.com/resin-artwork/3D-resin-beach,https://anataborda.com/assets/images/artwork/3D-resin-beach.jpeg,AnaTabordaArt,500044,1023,0,125,,,,,,,,,,
AT0041,Stingrays family in the ocean,"Gift idea for him and for her. This artwork showcasing the beauty of the ocean water and waves.
",out of stock,new,120,https://anataborda.com/resin-artwork/stingrays-family-in-the-ocean,https://anataborda.com/assets/images/artwork/stingrays-family-in-the-ocean.jpeg,AnaTabordaArt,500044,1023,0,120,,,,,,,,,,
AT0045,Black & Gold Resin Geode,"Elegante and luxurious piece beautifully reflective with large cluster of crystals in the middle area and crystals points. The artist edge flows as a continuation giving this piece an artistic feel.
",out of stock,new,264,https://anataborda.com/resin-artwork/black-and-gold-resin-geode,https://anataborda.com/assets/images/artwork/black-and-gold-resin-geode.jpeg,AnaTabordaArt,500044,1023,0,264,,,,,,,,,,
AT0046,Geode crystal agate,"A wonderful wall decor with a form of an Agate slice stone. This piece contain clear resin crystal clusters and mirror in the middle.
",in stock,new,290,https://anataborda.com/resin-artwork/geode-crystal-agate,https://anataborda.com/assets/images/artwork/geode-crystal-agate.jpeg,AnaTabordaArt,500044,1023,1,290,,,,,,,,,,
AT0047,Blue Agate Slice,"Unique and original resin agate slice, one of a kind geode artwork that will add a luxury statement to your home or office.
",out of stock,new,210,https://anataborda.com/resin-artwork/blue-agate-slice,https://anataborda.com/assets/images/artwork/blue-agate-slice.jpeg,AnaTabordaArt,500044,1023,0,210,,,,,,,,,,
AT0048,Blue Galaxy Geode,"One of a kind geode artwork that will add a luxury statement to your home or office.
",in stock,new,49,https://anataborda.com/resin-artwork/blue-galaxy-geode,https://anataborda.com/assets/images/artwork/blue-galaxy-geode.jpeg,AnaTabordaArt,500044,1023,1,49,,,,,,,,,,
AT0049,Gold Veins Geode,"One of a kind geode artwork that will add a luxury statement to your home or office.
",out of stock,new,49,https://anataborda.com/resin-artwork/gold-veins-geode,https://anataborda.com/assets/images/artwork/gold-veins-geode.jpeg,AnaTabordaArt,500044,1023,0,49,,,,,,,,,,
AT0050,green-river-resin-wall-art,"One of a kind geode artwork that will add a luxury statement to your home or office.
",in stock,new,89,https://anataborda.com/resin-artwork/green-river-resin-wall-art,https://anataborda.com/assets/images/artwork/green-river-resin-wall-art.jpeg,AnaTabordaArt,500044,1023,1,89,,,,,,,,,,
AT0051,Green Sparkle Geode,"One of a kind geode artwork that will add a luxury statement to your home or office.
",in stock,new,89,https://anataborda.com/resin-artwork/green-sparkle-geode,https://anataborda.com/assets/images/artwork/green-sparkle-geode.jpeg,AnaTabordaArt,500044,1023,1,89,,,,,,,,,,
AT0052,pink-river-resin-artwork,"Unique and luxurious piece, this beautiful design is combined with some clear epoxy crystals and different with texture s made of glass and acrylic.
",out of stock,new,89,https://anataborda.com/resin-artwork/pink-river-resin-artwork,https://anataborda.com/assets/images/artwork/pink-river-resin-artwork.jpeg,AnaTabordaArt,500044,1023,0,89,,,,,,,,,,
AT0053,Pink Celestial,"Unique and luxurious piece, this beautiful design is combined with some clear epoxy crystals and different with texture s made of glass and acrylic.
",in stock,new,49,https://anataborda.com/resin-artwork/pink-celestial,https://anataborda.com/assets/images/artwork/pink-celestial.jpeg,AnaTabordaArt,500044,1023,1,49,,,,,,,,,,
AT0054,Space Dark Geode,"Unique and luxurious piece, this beautiful design is combined with mirror, some clear epoxy crystals and different textures made of glass and acrylic.
",in stock,new,450,https://anataborda.com/resin-artwork/space-dark-geode,https://anataborda.com/assets/images/artwork/space-dark-geode.jpeg,AnaTabordaArt,500044,1023,1,450,,,,,,,,,,
AT0055,Sparkly Mint Fluorite Geode,"This artwork is not available, but I can do a similar design. Unique and luxurious piece, this beautiful design is combined with real mirror integrated on artwork, clear epoxy crystals and different textures made of glass and acrylic.
",out of stock,new,270,https://anataborda.com/resin-artwork/sparkly-mint-fluorite-geode,https://anataborda.com/assets/images/artwork/sparkly-mint-fluorite-geode.jpeg,AnaTabordaArt,500044,1023,0,270,,,,,,,,,,
